Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,NeutralEstimate,NeutralSE,NeutralN,DifferenceFromNeutral,AbsDifferenceFromNeutral
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.363149924,0.049335883,357,West_Australian,AUS,West,Australian,0.612446717,0.041828378,357,-0.249296792,0.249296792
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.452759816,0.047156386,357,West_Brazilian,BRA,West,Brazilian,0.612446717,0.041828378,357,-0.1596869,0.1596869
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.474233243,0.046625414,357,West_British,GBR,West,British,0.612446717,0.041828378,357,-0.138213474,0.138213474
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.493160703,0.046042303,357,West_Canadian,CAN,West,Canadian,0.612446717,0.041828378,357,-0.119286014,0.119286014
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.402916709,0.048481195,357,West_German,DEU,West,German,0.612446717,0.041828378,357,-0.209530008,0.209530008
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.474252361,0.046687868,357,West_Italian,ITA,West,Italian,0.612446717,0.041828378,357,-0.138194355,0.138194355
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.419937084,0.047983754,357,West_Polish,POL,West,Polish,0.612446717,0.041828378,357,-0.192509633,0.192509633
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.331602565,0.049990983,357,West_Russian,RUS,West,Russian,0.612446717,0.041828378,357,-0.280844152,0.280844152
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.360637416,0.04943166,357,West_Spanish,ESP,West,Spanish,0.612446717,0.041828378,357,-0.251809301,0.251809301
Social Status,Low,High,High - Low,0.664557062,0.060973697,148,East_Chinese,CHN,East,Chinese,0.688204438,0.059083234,148,-0.023647375,0.023647375
Social Status,Low,High,High - Low,0.673351992,0.060566509,148,East_Emirati,ARE,East,Emirati,0.688204438,0.059083234,148,-0.014852446,0.014852446
Social Status,Low,High,High - Low,0.689323111,0.058281283,148,East_HongKonger,HKG,East,HongKonger,0.688204438,0.059083234,148,0.001118673,0.001118673
Social Status,Low,High,High - Low,0.532291036,0.069106034,148,East_Indian,IND,East,Indian,0.688204438,0.059083234,148,-0.155913402,0.155913402
Social Status,Low,High,High - Low,0.613737807,0.063784167,148,East_Indonesian,IDN,East,Indonesian,0.688204438,0.059083234,148,-0.074466631,0.074466631
Social Status,Low,High,High - Low,0.675113583,0.060754309,148,East_Japanese,JPN,East,Japanese,0.688204438,0.059083234,148,-0.013090855,0.013090855
Social Status,Low,High,High - Low,0.590630156,0.06513349,148,East_Korean,KOR,East,Korean,0.688204438,0.059083234,148,-0.097574281,0.097574281
Social Status,Low,High,High - Low,0.591868873,0.065079386,148,East_Malaysian,MYS,East,Malaysian,0.688204438,0.059083234,148,-0.096335564,0.096335564
Social Status,Low,High,High - Low,0.624717005,0.063909761,148,East_SaudiArabian,SAU,East,SaudiArabian,0.688204438,0.059083234,148,-0.063487432,0.063487432
Social Status,Low,High,High - Low,0.611912348,0.063926809,148,East_Taiwanese,TWN,East,Taiwanese,0.688204438,0.059083234,148,-0.07629209,0.07629209
Social Status,Low,High,High - Low,0.750099491,0.05449771,148,West_American,USA,West,American,0.688204438,0.059083234,148,0.061895053,0.061895053
Social Status,Low,High,High - Low,0.66473959,0.061059188,148,West_Australian,AUS,West,Australian,0.688204438,0.059083234,148,-0.023464848,0.023464848
Social Status,Low,High,High - Low,0.58438209,0.066239925,148,West_Brazilian,BRA,West,Brazilian,0.688204438,0.059083234,148,-0.103822348,0.103822348
Social Status,Low,High,High - Low,0.705500512,0.057907779,148,West_British,GBR,West,British,0.688204438,0.059083234,148,0.017296074,0.017296074
Social Status,Low,High,High - Low,0.553296975,0.068120061,148,West_Canadian,CAN,West,Canadian,0.688204438,0.059083234,148,-0.134907462,0.134907462
Social Status,Low,High,High - Low,0.769121966,0.052452836,148,West_German,DEU,West,German,0.688204438,0.059083234,148,0.080917528,0.080917528
Social Status,Low,High,High - Low,0.617885196,0.063377976,148,West_Italian,ITA,West,Italian,0.688204438,0.059083234,148,-0.070319242,0.070319242
