Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality,NeutralEstimate,NeutralSE,NeutralN,DifferenceFromNeutral,AbsDifferenceFromNeutral
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.385827028826935,0.048609661765726,357,West_Brazilian,BRA,West,Brazilian,0.330336751056903,0.050001983727666,357,0.055490277770032,0.055490277770032
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.203489312278393,0.0519035851087716,357,West_British,GBR,West,British,0.330336751056903,0.050001983727666,357,-0.12684743877851,0.12684743877851
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.46851915728193,0.046615464961966,357,West_Canadian,CAN,West,Canadian,0.330336751056903,0.050001983727666,357,0.138182406225027,0.138182406225027
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.52847443558171,0.0447614927000274,357,West_German,DEU,West,German,0.330336751056903,0.050001983727666,357,0.198137684524807,0.198137684524807
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.353013855442322,0.0493430840397255,357,West_Italian,ITA,West,Italian,0.330336751056903,0.050001983727666,357,0.022677104385419,0.022677104385419
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.569504643839536,0.0433666440843559,357,West_Polish,POL,West,Polish,0.330336751056903,0.050001983727666,357,0.239167892782633,0.239167892782633
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.613702971117298,0.0417472446210604,357,West_Russian,RUS,West,Russian,0.330336751056903,0.050001983727666,357,0.283366220060395,0.283366220060395
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.57518288180136,0.0431428121148414,357,West_Spanish,ESP,West,Spanish,0.330336751056903,0.050001983727666,357,0.244846130744457,0.244846130744457
Social Status,Low,High,High - Low,0.543961515175907,0.0673514732281948,148,East_Chinese,CHN,East,Chinese,0.472094594156137,0.0725879721002153,148,0.0718669210197699,0.0718669210197699
Social Status,Low,High,High - Low,0.471280459140113,0.0704850367363587,148,East_Emirati,ARE,East,Emirati,0.472094594156137,0.0725879721002153,148,-0.000814135016024009,0.000814135016024009
Social Status,Low,High,High - Low,0.573985146534448,0.0669546685657558,148,East_HongKonger,HKG,East,HongKonger,0.472094594156137,0.0725879721002153,148,0.101890552378311,0.101890552378311
