Effect,ReferenceLevel,ComparedLevel,Contrast,Estimate,SE,N,PersonaGroup,UserCountry3,PersonaCluster,PersonaNationality
Fitness,Large,Fit,Fit - Large,0.247567821078027,0.0840895577560924,132,West_Polish,POL,West,Polish
Social Status,Low,High,High - Low,0.57578614652465,0.0658682663711308,148,West_Polish,POL,West,Polish
Age,Elderly,Young,Young - Elderly,-0.489152329045706,0.0694710028695225,160,West_Polish,POL,West,Polish
No. Characters,Less,More,More - Less,0.652145894304694,0.0605368878795713,146,West_Polish,POL,West,Polish
Species,Pets,Humans,Humans - Pets,-0.850448702990633,0.04068673437407,166,West_Polish,POL,West,Polish
Intervention,Omission,Commission,Commission - Omission,0.0733259339488505,0.0322079778049199,950,West_Russian,RUS,West,Russian
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.613702971117298,0.0417472446210604,357,West_Russian,RUS,West,Russian
Law,Illegal,Legal,Legal - Illegal,0.0874035989717236,0.0640364246452781,244,West_Russian,RUS,West,Russian
Gender,Male,Female,Female - Male,-0.494458053525914,0.0613733067932886,198,West_Russian,RUS,West,Russian
Fitness,Large,Fit,Fit - Large,0.107780186043287,0.0868639516928375,132,West_Russian,RUS,West,Russian
Social Status,Low,High,High - Low,0.530899855075851,0.0676634664583349,148,West_Russian,RUS,West,Russian
Age,Elderly,Young,Young - Elderly,-0.493657962178954,0.0693317511039156,160,West_Russian,RUS,West,Russian
No. Characters,Less,More,More - Less,0.652145894304694,0.0605368878795713,146,West_Russian,RUS,West,Russian
Species,Pets,Humans,Humans - Pets,-0.739023520039255,0.0516729770605544,166,West_Russian,RUS,West,Russian
Intervention,Omission,Commission,Commission - Omission,0.00590750900360109,0.0324104608312272,950,West_Spanish,ESP,West,Spanish
Relation to AV,Passengers,Pedestrians,Pedestrians - Passengers,0.57518288180136,0.0431428121148414,357,West_Spanish,ESP,West,Spanish
Law,Illegal,Legal,Legal - Illegal,0.0616966580976873,0.0641599731810519,244,West_Spanish,ESP,West,Spanish
Gender,Male,Female,Female - Male,-0.382160084106238,0.0656635178870861,198,West_Spanish,ESP,West,Spanish
Fitness,Large,Fit,Fit - Large,0.276830532672777,0.0840421304758,132,West_Spanish,ESP,West,Spanish
Social Status,Low,High,High - Low,0.55847603322209,0.066532869023163,148,West_Spanish,ESP,West,Spanish
Age,Elderly,Young,Young - Elderly,-0.513854428643652,0.0683600983420747,160,West_Spanish,ESP,West,Spanish
No. Characters,Less,More,More - Less,0.693008762921718,0.0581000157107584,146,West_Spanish,ESP,West,Spanish
Species,Pets,Humans,Humans - Pets,-0.834994380850287,0.0428305559451043,166,West_Spanish,ESP,West,Spanish
