Effect,UserCountry3,PersonaGroup,PersonaCluster,PersonaNationality,HumanEstimate,HumanSE,NeutralEstimate,NeutralSE,NeutralN,BaselineDifferenceFromHuman,BaselineAbsDifferenceFromHuman,BaselineSquaredDifferenceFromHuman
Social Status,CHN,East_Chinese,East,Chinese,0.334636609,0.013790054,0.413631934,0.161542027,32,0.078995325,0.078995325,0.006240261
Social Status,DEU,West_German,West,German,0.294729625,0.002665624,0.413631934,0.161542027,32,0.118902309,0.118902309,0.014137759
Social Status,ESP,West_Spanish,West,Spanish,0.323547829,0.004259265,0.413631934,0.161542027,32,0.090084105,0.090084105,0.008115146
Social Status,GBR,West_British,West,British,0.353761819,0.003088384,0.413631934,0.161542027,32,0.059870115,0.059870115,0.003584431
Social Status,HKG,East_HongKonger,East,HongKonger,0.30434418,0.011208594,0.413631934,0.161542027,32,0.109287754,0.109287754,0.011943813
Social Status,IDN,East_Indonesian,East,Indonesian,0.379726867,0.012703869,0.413631934,0.161542027,32,0.033905067,0.033905067,0.001149554
Social Status,IND,East_Indian,East,Indian,0.31694995,0.010184658,0.413631934,0.161542027,32,0.096681984,0.096681984,0.009347406
Social Status,ITA,West_Italian,West,Italian,0.35661732,0.004491756,0.413631934,0.161542027,32,0.057014614,0.057014614,0.003250666
Social Status,JPN,East_Japanese,East,Japanese,0.318228363,0.004515697,0.413631934,0.161542027,32,0.095403571,0.095403571,0.009101841
Social Status,KOR,East_Korean,East,Korean,0.295447474,0.01008118,0.413631934,0.161542027,32,0.11818446,0.11818446,0.013967567
Social Status,MYS,East_Malaysian,East,Malaysian,0.348893395,0.014211574,0.413631934,0.161542027,32,0.064738539,0.064738539,0.004191078
Social Status,POL,West_Polish,West,Polish,0.354154282,0.00441148,0.413631934,0.161542027,32,0.059477652,0.059477652,0.003537591
Social Status,RUS,West_Russian,West,Russian,0.340724897,0.003487935,0.413631934,0.161542027,32,0.072907037,0.072907037,0.005315436
Social Status,SAU,East_SaudiArabian,East,SaudiArabian,0.351028168,0.016968949,0.413631934,0.161542027,32,0.062603766,0.062603766,0.003919232
Social Status,TWN,East_Taiwanese,East,Taiwanese,0.273966528,0.010145078,0.413631934,0.161542027,32,0.139665406,0.139665406,0.019506426
Social Status,USA,West_American,West,American,0.35861455,0.001497454,0.413631934,0.161542027,32,0.055017384,0.055017384,0.003026913
Species,ARE,East_Emirati,East,Emirati,0.576738615,0.012089917,-0.772904507,0.102031276,40,-1.349643122,1.349643122,1.821536557
Species,AUS,West_Australian,West,Australian,0.591866888,0.003212572,-0.772904507,0.102031276,40,-1.364771395,1.364771395,1.862600961
Species,BRA,West_Brazilian,West,Brazilian,0.332123747,0.003654288,-0.772904507,0.102031276,40,-1.105028254,1.105028254,1.221087442
Species,CAN,West_Canadian,West,Canadian,0.620113516,0.002791286,-0.772904507,0.102031276,40,-1.393018023,1.393018023,1.940499212
Species,CHN,East_Chinese,East,Chinese,0.6593241,0.00805309,-0.772904507,0.102031276,40,-1.432228607,1.432228607,2.051278783
Species,DEU,West_German,West,German,0.648889961,0.002182091,-0.772904507,0.102031276,40,-1.421794468,1.421794468,2.021499509
Species,ESP,West_Spanish,West,Spanish,0.604194352,0.003254562,-0.772904507,0.102031276,40,-1.377098859,1.377098859,1.896401267
Species,GBR,West_British,West,British,0.597346529,0.002500652,-0.772904507,0.102031276,40,-1.370251036,1.370251036,1.877587902
Species,HKG,East_HongKonger,East,HongKonger,0.571881295,0.007827029,-0.772904507,0.102031276,40,-1.344785802,1.344785802,1.808448853
Species,IDN,East_Indonesian,East,Indonesian,0.547935797,0.008465936,-0.772904507,0.102031276,40,-1.320840304,1.320840304,1.744619109
Species,IND,East_Indian,East,Indian,0.556126051,0.006778208,-0.772904507,0.102031276,40,-1.329030558,1.329030558,1.766322224
Species,ITA,West_Italian,West,Italian,0.672606589,0.002774278,-0.772904507,0.102031276,40,-1.445511096,1.445511096,2.089502329
Species,JPN,East_Japanese,East,Japanese,0.596494837,0.003204117,-0.772904507,0.102031276,40,-1.369399344,1.369399344,1.875254563
Species,KOR,East_Korean,East,Korean,0.7004119,0.005894787,-0.772904507,0.102031276,40,-1.473316407,1.473316407,2.170661235
Species,MYS,East_Malaysian,East,Malaysian,0.532676552,0.009886387,-0.772904507,0.102031276,40,-1.305581059,1.305581059,1.704541902
Species,POL,West_Polish,West,Polish,0.626939296,0.002776289,-0.772904507,0.102031276,40,-1.399843803,1.399843803,1.959562673
Species,RUS,West_Russian,West,Russian,0.605935426,0.002391103,-0.772904507,0.102031276,40,-1.378839933,1.378839933,1.901199561
Species,SAU,East_SaudiArabian,East,SaudiArabian,0.609155035,0.011373477,-0.772904507,0.102031276,40,-1.382059542,1.382059542,1.910088578
Species,TWN,East_Taiwanese,East,Taiwanese,0.55679039,0.00711509,-0.772904507,0.102031276,40,-1.329694897,1.329694897,1.768088519
Species,USA,West_American,West,American,0.584043888,0.001851544,-0.772904507,0.102031276,40,-1.356948395,1.356948395,1.841308947
